date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:47	25117/25117	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2017%20Sep%202021%2020:58:13%20GMT	https://collectionimages.npg.org.uk/panel/mw116474/Quo-Tai-Chi-Madame-Quo-Tai-Chi-with-their-son-Merlin-Quo.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw116474/mw116474.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/who-and-how-many)
14:34:47	26090/26090	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2011%20Oct%202021%2019:25:25%20GMT	https://collectionimages.npg.org.uk/panel/mw59086/Cora-Corr-Dame-Vivienne-Westwood.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw59086/mw59086.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/who-and-how-many)
14:34:47	24415/24415	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2023%20Oct%202017%2023:10:26%20GMT	https://collectionimages.npg.org.uk/panel/mw19417/Janet-Walton-and-her-sextuplets.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw19417/mw19417.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/who-and-how-many)
14:34:47	488/488	---M-Z	200	added ('OK')	image/gif	etag:%221e8-45daf86055900-gzip%22	https://www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots3.gif	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots3.gif	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/who-and-how-many)
14:34:48	29692/29692	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2009%20Oct%202021%2020:20:45%20GMT	https://collectionimages.npg.org.uk/panel/mw04476/Lady-Mary-Wortley-Montagu-with-her-son-Edward-Wortley-Montagu-and-attendants.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw04476/mw04476.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/what-to-wear)
14:34:48	25595/25595	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2015%20Sep%202021%2010:13:14%20GMT	https://collectionimages.npg.org.uk/panel/mw08092/The-Children-of-John-Taylor-of-Bifrons-Park.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw08092/mw08092.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/what-to-wear)
14:34:48	484/484	---M-Z	200	added ('OK')	image/gif	etag:%221e4-45daf867028c0-gzip%22	https://www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots4.gif	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots4.gif	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/what-to-wear)
14:34:48	167723/167723	---MCZ	200	added ('OK')	image/jpeg	etag:%2228f2b-5b9b74634a340-gzip%22	https://www.npg.org.uk/visit2017/568_YouTube-NPG.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/visit2017/568_YouTube-NPG.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/what-to-wear)
14:34:49	106891/106891	---MCZ	200	added ('OK')	image/jpeg	etag:%221a18b-5b9f82ab4e8e5-gzip%22	https://www.npg.org.uk/assets/microsites/bp2020/images/568_2020_BP_Portrait_Award_work_0863.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/microsites/bp2020/images/568_2020_BP_Portrait_Award_work_0863.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/what-to-wear)
14:34:49	116759/116759	---MCZ	200	added ('OK')	image/jpeg	etag:%221c817-5b9d06359c097-gzip%22	https://www.npg.org.uk/assets/images/visit/568_youtube-sleeping-awake.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/images/visit/568_youtube-sleeping-awake.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/what-to-wear)
14:34:49	4940/4940	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2017%20Sep%202021%2019:27:06%20GMT	https://collectionimages.npg.org.uk/panel/mw05618/Edwin-Sandys-Cicely-Sandys-ne-Wilford.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw05618/mw05618.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/making-faces)
14:34:49	23519/23519	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2013%20Oct%202021%2018:52:50%20GMT	https://collectionimages.npg.org.uk/panel/mw00158/Christopher-Anstey-with-his-daughter.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw00158/mw00158.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/making-faces)
14:34:49	24643/24643	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2023%20Oct%202017%2022:46:53%20GMT	https://collectionimages.npg.org.uk/panel/mw50245/Joan-Plowright-Laurence-Olivier-Hon-Richard-Olivier.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw50245/mw50245.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/making-faces)
14:34:50	25685/25685	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2018%20Oct%202017%2023:57:55%20GMT	https://collectionimages.npg.org.uk/panel/mw58108/Meera-Syal-Surendra-Kumar-Syal.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw58108/mw58108.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/making-faces)
14:34:50	488/488	---M-Z	200	added ('OK')	image/gif	etag:%221e8-45daf86f97d00-gzip%22	https://www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots5.gif	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots5.gif	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/making-faces)
14:34:50	26364/26364	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2030%20Sep%202021%2019:23:57%20GMT	https://collectionimages.npg.org.uk/panel/mw08478/The-Talman-Family-Group.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw08478/mw08478.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/behind-you)
14:34:50	8398/8398	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2012%20Oct%202021%2020:53:00%20GMT	https://collectionimages.npg.org.uk/panel/mw09949/John-Major-Norma-Major.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw09949/mw09949.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/behind-you)
14:34:50	24956/24956	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2005%20Oct%202021%2019:21:04%20GMT	https://collectionimages.npg.org.uk/panel/mw08482/George-Hudson-and-his-family.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw08482/mw08482.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/behind-you)
14:34:51	22781/22781	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2021%20Sep%202021%2019:39:41%20GMT	https://collectionimages.npg.org.uk/panel/mw03422/Anne-Hyde-Duchess-of-York-King-James-II.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw03422/mw03422.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/behind-you)
14:34:51	481/481	---M-Z	200	added ('OK')	image/gif	etag:%221e1-45daf87550a80-gzip%22	https://www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots6.gif	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/images/assets/learningoutreach/family-webquest/dots6.gif	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/behind-you)
14:34:51	164765/164765	UR-MCZ	200	updated ('OK')	image/jpeg	etag:%222839d-5ab805dcf81c1-gzip%22	https://www.npg.org.uk/assets/images/learning/playful-portraits/568-playful-portraits.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/images/learning/playful-portraits/568-playful-portraits.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/behind-you)
14:34:51	99057/99057	UR-MCZ	200	updated ('OK')	image/jpeg	etag:%22182f1-5b9ba2c4d9660-gzip%22	https://www.npg.org.uk/assets/images/collections/568_NPG6856.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/images/collections/568_NPG6856.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/behind-you)
14:34:52	109323/109323	UR-MCZ	200	updated ('OK')	image/jpeg	etag:%221ab0b-5b23ebb1148fb-gzip%22	https://www.npg.org.uk/assets/microsites/hold-still/banners/568_HS-learning-resource.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/www.npg.org.uk/assets/microsites/hold-still/banners/568_HS-learning-resource.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/behind-you)
14:34:52	8453/8453	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2029%20Sep%202021%2020:34:02%20GMT	https://collectionimages.npg.org.uk/panel/mw03457/Anna-Maria-Jenkins-Thomas-Jenkins.jpg	C:/Users/edefreitas/Desktop/HTT%20Track/Learning%20Resource/collectionimages.npg.org.uk/panel/mw03457/mw03457.jpg	(from https://www.npg.org.uk/learning/digital/interviews-with-artists-and-sitters/families-in-art-webquest/make-your-own-family-portrait/animals)
